Film,Year,URL Encoded name,Image File Name,Agency Credit,Artist Credit,Director/Filmmaker Name,Director/Filmmaker IMDB Link,Location Display Text,LATITUDE,LONGITUDE,Borough,Neighborhood,Scene Type,Media,IMDB LINK,Client or book location indicator,Notes,Book Image,Book Page,Display?,IMAGE OF LOCATION,ratings,Awards,Box Office,Director,Genre,Language,Plot,Poster,Rated,Runtime,imdbID,imdbVotes
Alice,1990,Alice,0,0,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/,E. 95th St. off Madison Ave.<br>Upper East Side<br>Manhattan,40.7866,-73.9547,Manhattan,Upper East Side,0,Film,http://www.imdb.com/title/tt0099012/,95th Street off Madison Avenue,0,Y,224,0,N,6.6,Nominated for 1 Oscar. Another 1 win & 6 nominations.,N/A,Woody Allen,"Comedy, Romance",0.0,A spoiled Manhattan housewife re-evaluates her life after visiting a Chinatown healer.,https://m.media-amazon.com/images/M/MV5BNDQ4YzdmY2MtYzkwOS00Njk5LWI5MWUtNGQ0NzVhODIxYzkwXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,PG-13,106 min,tt0099012,"13,200"
American Psycho,2000,American%20Psycho,AmericanPyscho_ec,"Courtesy of Everett Collection, Inc.",Directed by,Mary Harron,http://www.imdb.com/name/nm0366004/,Chinatown<br>Manhattan,40.71621654,-73.99808049,Manhattan,Chinatown,0,Film,http://www.imdb.com/title/tt0144084/,Chinatown,0,Y,140,0,Y,7.6,8 wins & 13 nominations.,"$15,070,285",Mary Harron,"Comedy, Crime, Drama",0.0,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",https://m.media-amazon.com/images/M/MV5BZTM2ZGJmNjQtN2UyOS00NjcxLWFjMDktMDE2NzMyNTZlZTBiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,R,101 min,tt0144084,"483,967"
An Unmarried Woman,1978,An%20Unmarried%20Woman,0,0,Directed by,Paul Mazursky,http://imdb.com/name/nm0005196/,Mercer St. between Spring and Broome<br>SoHo<br>Manhattan,40.72255913,-74.00029063,Manhattan,SoHo,0,Film,http://www.imdb.com/title/tt0078444/,SoHo,0,Y,152-153,N,N,7.1,Nominated for 3 Oscars. Another 6 wins & 15 nominations.,N/A,Paul Mazursky,"Comedy, Drama, Romance",0.0,A wealthy woman from Manhattan's Upper East Side struggles to deal with her new identity and her sexuality after her husband of sixteen years leaves her for a younger woman.,https://m.media-amazon.com/images/M/MV5BMTNhNzU5OGItZDk5Zi00NjJlLTkzMGMtZDNmNjQ5ZjZjZjRhXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,R,124 min,tt0078444,"4,658"
Annie Hall,1977,Annie%20Hall,AnnieHall2_pf,Courtesy of Photofest,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/,Coney Island<br>Brooklyn,40.57360922,-73.97596836,Brooklyn,Brooklyn,0,Film,http://www.imdb.com/title/tt0075686/,Coney Island boardwalk,0,Y,136,0,N,8.0,Won 4 Oscars. Another 26 wins & 8 nominations.,"$38,251,425",Woody Allen,"Comedy, Romance",0.0,Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.,https://m.media-amazon.com/images/M/MV5BZDg1OGQ4YzgtM2Y2NS00NjA3LWFjYTctMDRlMDI3NWE1OTUyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,PG,93 min,tt0075686,"250,571"
Annie Hall,1977,Annie%20Hall,AnnieHall2_pf,Courtesy of Photofest,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/,Pier 11<br>Manhattan,40.70420461,-74.0060252,Manhattan,Lower Manhattan,0,Film,http://www.imdb.com/title/tt0075686/,Pier 11,0,Y,121,0,N,8.0,Won 4 Oscars. Another 26 wins & 8 nominations.,"$38,251,425",Woody Allen,"Comedy, Romance",0.0,Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.,https://m.media-amazon.com/images/M/MV5BZDg1OGQ4YzgtM2Y2NS00NjA3LWFjYTctMDRlMDI3NWE1OTUyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,PG,93 min,tt0075686,"250,571"
Annie Hall,1977,Annie%20Hall,AnnieHall2_pf,Courtesy of Photofest,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/,Foot of 59th St. Bridge<br>Upper East Side<br>Manhattan,40.75780643,-73.95962834,Manhattan,Midtown,0,Film,http://www.imdb.com/title/tt0075686/,foot of 58th street bridge,0,N,0,0,N,8.0,Won 4 Oscars. Another 26 wins & 8 nominations.,"$38,251,425",Woody Allen,"Comedy, Romance",0.0,Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.,https://m.media-amazon.com/images/M/MV5BZDg1OGQ4YzgtM2Y2NS00NjA3LWFjYTctMDRlMDI3NWE1OTUyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,PG,93 min,tt0075686,"250,571"
Annie Hall,1977,Annie%20Hall,AnnieHall2_pf,Courtesy of Photofest,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/,E. 68th St. between Park Ave. and Madison Ave.<br>Upper East Side<br>Manhattan,40.76890676,-73.96660209,Manhattan,Upper East Side,0,Film,http://www.imdb.com/title/tt0075686/,68th Street bet Park and Madison Aves,0,Y,114,0,N,8.0,Won 4 Oscars. Another 26 wins & 8 nominations.,"$38,251,425",Woody Allen,"Comedy, Romance",0.0,Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.,https://m.media-amazon.com/images/M/MV5BZDg1OGQ4YzgtM2Y2NS00NjA3LWFjYTctMDRlMDI3NWE1OTUyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,PG,93 min,tt0075686,"250,571"
Annie Hall,1977,Annie%20Hall,AnnieHall2_pf,Courtesy of Photofest,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/,W. 95th St.<br>Upper West Side<br>Manhattan,40.79163797,-73.96653771,Manhattan,Upper West Side,0,Film,http://www.imdb.com/title/tt0075686/,West 95th Street,0,Y,222,0,Y,8.0,Won 4 Oscars. Another 26 wins & 8 nominations.,"$38,251,425",Woody Allen,"Comedy, Romance",0.0,Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.,https://m.media-amazon.com/images/M/MV5BZDg1OGQ4YzgtM2Y2NS00NjA3LWFjYTctMDRlMDI3NWE1OTUyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,PG,93 min,tt0075686,"250,571"
As Good As It Gets,1997,As%20Good%20As%20It%20Gets,AsGoodAsitgets_pf,Courtesy of Photofest,Directed by,James L. Brooks,http://imdb.com/name/nm0000985/,Sixth Ave. between 11th St. and 12th St.<br>West Village<br>Manhattan,40.7354051,-73.99831653,Manhattan,West Village,0,Film,http://imdb.com/title/tt0119822/,Sixth Avenue btwn 11th ansd 12th St east side of 6th Ave,0,Y,206,0,Y,7.7,Won 2 Oscars. Another 36 wins & 54 nominations.,N/A,James L. Brooks,"Comedy, Drama, Romance",0.0,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",https://m.media-amazon.com/images/M/MV5BNWMxZTgzMWEtMTU0Zi00NDc5LWFkZjctMzUxNDIyNzZiMmNjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,PG-13,139 min,tt0119822,"273,193"
Barefoot in the Park,1967,Barefoot%20in%20the%20Park,BarefootinthePark2_pf,Courtesy of Photofest,Directed by,Gene Saks,http://imdb.com/name/nm0757256/,Washington Square Park<br>West Village<br>Manhattan,40.7307223,-73.99651408,Manhattan,West Village,0,Film,http://www.imdb.com/title/tt0061385/,Washington Square Park,poor quality,Y,74-75,0,Y,7.0,Nominated for 1 Oscar. Another 6 nominations.,N/A,Gene Saks,"Comedy, Romance",0.0,"Paul, a conservative young lawyer, marries the vivacious Corie. Their highly passionate relationship descends into comical discord in a five-flight New York City walk-up apartment.",https://m.media-amazon.com/images/M/MV5BNjJiNzhkNGYtNDRhNi00NjNjLWJmZGEtOTQ1ZDM2NDM0ODgzXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,G,106 min,tt0061385,"16,195"
Barefoot in the Park,1967,Barefoot%20in%20the%20Park,BarefootinthePark1_pf,Courtesy of Photofest,Directed by,Gene Saks,http://imdb.com/name/nm0757256/,Greenwich St. and Christopher St.<br>Greenwich Village<br>Manhattan,40.73311252,-74.00741458,Manhattan,SoHo,0,Film,http://www.imdb.com/title/tt0061385/,Greenwhich Street near Christopher Street,0,Y,74-75,0,Y,7.0,Nominated for 1 Oscar. Another 6 nominations.,N/A,Gene Saks,"Comedy, Romance",0.0,"Paul, a conservative young lawyer, marries the vivacious Corie. Their highly passionate relationship descends into comical discord in a five-flight New York City walk-up apartment.",https://m.media-amazon.com/images/M/MV5BNjJiNzhkNGYtNDRhNi00NjNjLWJmZGEtOTQ1ZDM2NDM0ODgzXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,G,106 min,tt0061385,"16,195"
Basquiat,1996,Basquiat,Basquiat_pf,Courtesy of Photofest,Directed by,Julian Schnabel,http://imdb.com/name/nm0773603/,Lower East Side<br>Manhattan,40.71818443,-73.98885369,Manhattan,Lower East Side,0,Film,http://www.imdb.com/title/tt0115632/,[Ludlow below Delancy ] Lower East Side,0,Y,187,0,Y,6.9,2 wins & 3 nominations.,N/A,Julian Schnabel,"Biography, Drama",0.0,"The brief life of Jean Michel Basquiat, a world renowned New York street artist struggling with fame, drugs and his identity.",https://m.media-amazon.com/images/M/MV5BMTk3NTk3MzU5N15BMl5BanBnXkFtZTgwNjIwMDcyMTI@._V1_SX300.jpg,R,107 min,tt0115632,"19,266"
Bed of Roses,1996,Bed%20of%20Roses,0,0,Directed by,Michael Goldenberg,http://imdb.com/name/nm0325533/,Chelsea,40.74324155,-74.00196433,Manhattan,Chelsea,Rooftops,Film,http://www.imdb.com/title/tt0115644/,chelsea (midtown),0,Y,231,N,N,6.1,N/A,"$19,030,691",Michael Goldenberg,"Drama, Romance",0.0,"Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window.",https://m.media-amazon.com/images/M/MV5BNTUwOWM4YmUtMzdkMi00YjEwLWE0MmEtZTBmMGNhYWU4OGI3XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,PG,87 min,tt0115644,"7,829"
BIG,1988,BIG,Big_pf,Courtesy of Photofest,Directed by,Penny Marshall,http://imdb.com/name/nm0001508/,F.A.O. Schwarz at 767 Fifth Ave.<br>Midtown<br>Manhattan,40.764053,-73.972978,Manhattan,Midtown,0,Film,http://www.imdb.com/title/tt0094737/,F.A.O. Schwarz - 58th and Fifth Avenue,poor quality,Y,162-163,0,Y,7.3,Nominated for 2 Oscars. Another 11 wins & 12 nominations.,"$115,227,281",Penny Marshall,"Comedy, Drama, Fantasy, Romance",0.0,"After wishing to be made big, a teenage boy wakes the next morning to find himself mysteriously in the body of an adult.",https://m.media-amazon.com/images/M/MV5BMDQ1ODM5MTMtMjAwYi00ZGUxLTliNTMtN2ZhODAwMjVhMTRlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,PG,104 min,tt0094737,"196,722"
Blue in the Face,1995,Blue%20in%20the%20Face,0,0,Directed by,"Paul Auster,Wayne Wang","http://imdb.com/name/nm0000808/,http://imdb.com/name/nm0911061/",Prospect Park West and 16th St.<br>Windsor Terrace<br>Brooklyn,40.65749448,-73.97406936,Brooklyn,Brooklyn,0,Film,http://www.imdb.com/title/tt0112541/,Prospect Park West and 16th Street in Windsor Terrace,0,Y,177,0,N,6.7,2 nominations.,N/A,"Paul Auster, Wayne Wang, Harvey Wang",Comedy,0.0,"Brooklyn Cigar Store is a neighborhood hangout in Brooklyn with Auggie Wren/H.Keitel as center. Some people are interviewed about Brooklyn, spiced up with statistics on Brooklyn.",https://m.media-amazon.com/images/M/MV5BMzMzMTBjMzQtNGVmZS00MTg2LTgyNGYtZDRjNDIzMDJiNzY4XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,R,83 min,tt0112541,"8,928"
Breakfast at Tiffany's,1961,Breakfast%20at%20Tiffany%27s,BreakfastatTiffanys3_ec,"Courtesy of Everett Collection, Inc.",Directed by,Blake Edwards,http://imdb.com/name/nm0001175/,Tiffany & Co. at 727 Fifth Ave.<br>Midtown<br>Manhattan,40.76251,-73.974142,Manhattan,Midtown,0,Film,http://www.imdb.com/title/tt0054698/,Tiffany & Co. - 727 Fifth Avenue at 57th Street,0,Y,49,0,Y,7.6,Won 2 Oscars. Another 8 wins & 13 nominations.,N/A,Blake Edwards,"Comedy, Drama, Romance",0.0,"A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way.",https://m.media-amazon.com/images/M/MV5BNGEwMTRmZTQtMDY4Ni00MTliLTk5ZmMtOWMxYWMyMTllMDg0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Approved,115 min,tt0054698,"165,451"
Breakfast at Tiffany's,1961,Breakfast%20at%20Tiffany%27s,BreakfastatTiffanys2_ec,"Courtesy of Everett Collection, Inc.",Directed by,Blake Edwards,http://imdb.com/name/nm0001175/,E. 71st St.<br>Upper East Side<br>Manhattan,40.77136061,-73.96643043,Manhattan,Upper East Side,0,Film,http://www.imdb.com/title/tt0054698/,Tiffany & Co. - 727 Fifth Avenue at 57th Street,0,Y,48,0,Y,7.6,Won 2 Oscars. Another 8 wins & 13 nominations.,N/A,Blake Edwards,"Comedy, Drama, Romance",0.0,"A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way.",https://m.media-amazon.com/images/M/MV5BNGEwMTRmZTQtMDY4Ni00MTliLTk5ZmMtOWMxYWMyMTllMDg0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Approved,115 min,tt0054698,"165,451"
Breakfast at Tiffany's,1961,Breakfast%20at%20Tiffany%27s,BreakfastatTiffanys1_ec,"Courtesy of Everett Collection, Inc.",Directed by,Blake Edwards,http://imdb.com/name/nm0001175/,Central Park Mall<br>Manhattan,40.77321313,-73.97127986,Manhattan,Central Park,0,Film,http://www.imdb.com/title/tt0054698/,Tiffany & Co. - 727 Fifth Avenue at 57th Street,0,Y,48,0,Y,7.6,Won 2 Oscars. Another 8 wins & 13 nominations.,N/A,Blake Edwards,"Comedy, Drama, Romance",0.0,"A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way.",https://m.media-amazon.com/images/M/MV5BNGEwMTRmZTQtMDY4Ni00MTliLTk5ZmMtOWMxYWMyMTllMDg0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Approved,115 min,tt0054698,"165,451"
Broadway Danny Rose,1984,Broadway%20Danny%20Rose,BroadwayDannyRose_pf,Courtesy of Photofest,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/,Carnegie Deli at 854 Seventh Ave.<br>Midtown<br>Manhattan,40.764073,-73.981288,Manhattan,Midtown,0,Film,http://www.imdb.com/title/tt0087003/,Carnegie Deli - 7th Avenue at 55th Street,poor quality,Y,158,0,Y,7.4,Nominated for 2 Oscars. Another 3 wins & 2 nominations.,"$10,600,497",Woody Allen,Comedy,0.0,"In his attempts to reconcile a lounge singer with his mistress, a hapless talent agent is mistaken as her lover by a jealous gangster.",https://m.media-amazon.com/images/M/MV5BMTkwMDQ4MjMwNF5BMl5BanBnXkFtZTcwNTM4OTYwNA@@._V1_SX300.jpg,PG,84 min,tt0087003,"23,788"
Cagney & Lacey,1982-1988,Cagney%20%26%20Lacey,CagneyandLacey_pf,Courtesy of Photofest,Created by,"Barbara Avedon,Barbara Corday,(more)","http://imdb.com/name/nm0042853/,http://imdb.com/name/nm0179400/,http://imdb.com/title/tt0083395/fullcredits#writers",Howard Beach<br>Queens,40.66553541,-73.84125709999998,Queens,Queens,0,TV,http://imdb.com/title/tt0083395/,Howard Beach ,0,Y,256,0,Y,6.8,Won 1 Golden Globe. Another 35 wins & 57 nominations.,0,N/A,"Crime, Drama, Mystery, Thriller",0.0,Two female police detectives cooperate with each other both in their professions and in their personal lives.,https://m.media-amazon.com/images/M/MV5BMTgwNjgxMDg1NF5BMl5BanBnXkFtZTcwMTE4MTQ4NA@@._V1_SX300.jpg,TV-PG,60 min,tt0083395,"3,326"
Center Stage,2000,Center%20Stage,0,0,Directed by,Nicholas Hytner,http://imdb.com/name/nm0405336/,American Ballet Theater<br>890 Broadway<br>Manhattan,40.738641,-73.989774,Manhattan,Midtown,0,Film,http://www.imdb.com/title/tt0210616/,American Ballet Theater: 890 Broadway,0,Y,215,0,N,6.7,1 win.,N/A,Nicholas Hytner,"Drama, Music, Romance",0.0,A group of 12 teenagers from various backgrounds enroll at the American Ballet Academy in New York to make it as ballet dancers and each one deals with the problems and stress of training and getting ahead in the world of dance.,https://m.media-amazon.com/images/M/MV5BODk2MjYwNDQ4MV5BMl5BanBnXkFtZTYwNzc1NDY2._V1_SX300.jpg,PG-13,115 min,tt0210616,"18,888"
Chasing Amy,1997,Chasing%20Amy,0,0,Directed by,Kevin Smith,http://imdb.com/name/nm0003620/,269 E. Houston St.<br>Lower East Side<br>Manhattan,40.721516,-73.984616,Manhattan,Lower East Side,0,Film,http://www.imdb.com/title/tt0118842/,269 East Houston Street,0,Y,188,0,N,7.2,Nominated for 1 Golden Globe. Another 5 wins & 15 nominations.,"$12,021,272",Kevin Smith,"Comedy, Drama, Romance",0.0,"Holden and Banky are comic book artists. Everything's going good for them until they meet Alyssa, also a comic book artist. Holden falls for her, but his hopes are crushed when he finds out she's a lesbian.",https://m.media-amazon.com/images/M/MV5BZDM3MTg2MGUtZDM0MC00NzMwLWE5NjItOWFjNjA2M2I4YzgxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,R,113 min,tt0118842,"131,882"
Clockers,1995,Clockers,Clockers2_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/,Gowanus Houses<br>Brooklyn,40.6841528,-73.98804903,Brooklyn,Brooklyn,0,Film,http://www.imdb.com/title/tt0112688/,"Gowanus Houses: Wycoff, Douglass, Bond and Hoyt streets",We have another photo,Y,178,0,Y,6.9,6 nominations.,"$13,071,518",Spike Lee,"Crime, Drama, Mystery",0.0,"Young drug pushers in the projects of Brooklyn live hard dangerous lives, trapped between their drug bosses and the detectives out to stop them.",https://m.media-amazon.com/images/M/MV5BY2JmNTUyYWQtMTZhMy00YTE4LTllNGItMDZmNTBiZTkyNjE2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,R,128 min,tt0112688,"20,693"
Coogan's Bluff,1968,Coogan%27s%20Bluff,CoogansBluff_pf,Courtesy of Photofest,Directed by,Don Siegel,http://imdb.com/name/nm0796923/,Fort Tryon Park<br>Manhattan,40.85946031,-73.93408298,Manhattan,Fort George,0,Film,http://www.imdb.com/title/tt0062824/,Fort Tyron Park,0,Y,95,0,Y,6.5,N/A,N/A,Don Siegel,"Action, Comedy, Crime, Thriller, Western",0.0,Arizona Deputy Sheriff Coogan (Clint Eastwood) is sent to New York City to escort an escaped fugitive back for trial.,https://m.media-amazon.com/images/M/MV5BN2E3MDY5NWQtMmE5YS00ZjQ0LTgyYjItN2Q4MGVhNWY0MWFhXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,R,93 min,tt0062824,"15,519"
